gene	meth_pos	nb22	nb26	nb27	nc3	nc4	nc5	sb22	sb26	sb27	sc3	sc4	sc5
g1	0	0	0	0	0	0	0	0	0	0	0	0	0
g2	3	17.72	6.25	6.78	0	6.67	0	25.52	1.59	37.7	1.8	12.78	0
g3	0	0	0	0	0	0	0	0	0	0	0	0	0
g4	0	0	0	0	0	0	0	0	0	0	0	0	0
g5	0	0	0	0	0	0	0	0	0	0	0	0	0
g6	3	0	0	0	0	0	0	0	0	0	0	0	0
g7	39	2.72	2.93	4.57	3.42	5.28	5.22	4.52	3.67	3.56	1	2.33	4.44
g8	0	0	0	0	0	0	0	0	0	0	0	0	0
g9	112	0.13	0.68	0.08	0.07	0.04	0	0	0.1	0.04	0	0	0.08
g10	19	0.4	0	0	0	0	0	0	0	0	0	0	0
g11	10	0	0	0	0	0	0	0	0	0	0	0	0
g12	0	0	0	0	0	0	0	0	0	0	0	0	0
g13	9	0	0	0	0	0	0	0	0	0	0	0	0
g14	0	0	0	0	0	0	0	0	0	0	0	0	0
g15	46	0	0.11	0.27	0.16	0.07	0.19	0	0.26	0.11	0.12	0	0
g16	0	0	0	0	0	0	0	0	0	0	0	0	0
g17	0	0	0	0	0	0	0	0	0	0	0	0	0
g18	60	0	0	0	0	0	0	0.08	0	0.06	0	0	0
g19	0	0	0	0	0	0	0	0	0	0	0	0	0
g20	0	0	0	0	0	0	0	0	0	0	0	0	0
g21	1	33.33	18.75	30	18.18	33.33	35.71	100	100	100	92.59	90	90.91
g22	0	0	0	0	0	0	0	0	0	0	0	0	0
g23	0	0	0	0	0	0	0	0	0	0	0	0	0
g24	0	0	0	0	0	0	0	0	0	0	0	0	0
g25	0	0	0	0	0	0	0	0	0	0	0	0	0
g26	3	0	0	0	0	2.08	0	0	0	0	0	0	0
g27	78	0.18	0.18	0	0	0	0	0.06	0	0	0	0.13	0
g28	43	0	0.38	0	0	0.11	0	0	0	0	0	0	0
