sample	context	n_cpgs	methylated_count	total_count	weighted_average
nb22	intergenic	713808	2277462	41015229	5.5527
nb22	exon	171888	298048	4085540	7.2952
nb22	intron	244010	259478	5273022	4.9209
nb22	other	3809	6304	167500	3.7636
nb22	total	1129706	2834988	50373791	5.6279
nb26	intergenic	713808	1944147	35556187	5.4678
nb26	exon	171888	215058	3615485	5.9482
nb26	intron	244010	218845	4774363	4.5838
nb26	other	3809	6859	157000	4.3688
nb26	total	1129706	2378050	43946035	5.4113
nb27	intergenic	713808	2516042	44702646	5.6284
nb27	exon	171888	354961	4530609	7.8347
nb27	intron	244010	315551	5858739	5.386
nb27	other	3809	10319	217785	4.7382
nb27	total	1129706	3186554	55091994	5.7841
nc3	intergenic	713808	1726065	29940657	5.765
nc3	exon	171888	257325	3071458	8.3779
nc3	intron	244010	196292	4024790	4.8771
nc3	other	3809	6647	153186	4.3392
nc3	total	1129706	2179682	37036905	5.8852
nc4	intergenic	713808	3143316	54304439	5.7883
nc4	exon	171888	587274	5581104	10.5225
nc4	intron	244010	382968	7021225	5.4544
nc4	other	3809	11104	249448	4.4514
nc4	total	1129706	4113558	66906768	6.1482
nc5	intergenic	713808	1953723	35192868	5.5515
nc5	exon	171888	273943	3539181	7.7403
nc5	intron	244010	244905	4633702	5.2853
nc5	other	3809	5334	236529	2.2551
nc5	total	1129706	2472571	43365751	5.7017
sb22	intergenic	713808	3313472	41660550	7.9535
sb22	exon	171888	417034	5325686	7.8306
sb22	intron	244010	347480	6703085	5.1839
sb22	other	3809	16549	192682	8.5888
sb22	total	1129706	4077986	53689321	7.5955
sb26	intergenic	713808	3070248	38785804	7.9159
sb26	exon	171888	339699	5248752	6.472
sb26	intron	244010	328955	6702809	4.9077
sb26	other	3809	11688	168936	6.9186
sb26	total	1129706	3738902	50737365	7.3691
sb27	intergenic	713808	3643729	43035189	8.4669
sb27	exon	171888	475032	5634610	8.4306
sb27	intron	244010	388379	7152200	5.4302
sb27	other	3809	22171	232939	9.5179
sb27	total	1129706	4507140	55821999	8.0741
sc3	intergenic	713808	2858445	34609701	8.2591
sc3	exon	171888	359027	4577964	7.8425
sc3	intron	244010	308291	5869462	5.2525
sc3	other	3809	16620	189868	8.7534
sc3	total	1129706	3525763	45057127	7.8251
sc4	intergenic	713808	1911623	25061217	7.6278
sc4	exon	171888	288650	3215696	8.9763
sc4	intron	244010	219840	4156878	5.2886
sc4	other	3809	7258	119418	6.0778
sc4	total	1129706	2420113	32433791	7.4617
sc5	intergenic	713808	2847540	35420826	8.0392
sc5	exon	171888	370720	4715589	7.8616
sc5	intron	244010	301962	5893464	5.1237
sc5	other	3809	13527	252979	5.3471
sc5	total	1129706	3520222	46029879	7.6477
