sample	gene	n_cpgs	methylated_count	total_count	weighted_average
nb22	g2	2	10	56	17.8571
nb22	g6	3	0	36	0.0
nb22	g7	39	15	609	2.4631
nb22	g9	105	2	1543	0.1296
nb22	g10	19	1	244	0.4098
nb22	g11	9	0	143	0.0
nb22	g13	9	0	123	0.0
nb22	g15	45	0	663	0.0
nb22	g18	59	0	936	0.0
nb22	g21	1	4	12	33.3333
nb22	g26	3	0	39	0.0
nb22	g27	77	2	956	0.2092
nb22	g28	40	0	648	0.0
nb22	g29	125	0	1760	0.0
nb22	g30	18	0	354	0.0
nb22	g31	1	0	10	0.0
nb22	g32	1	0	12	0.0
nb22	g35	5	52	58	89.6552
nb22	g36	6	0	78	0.0
nb22	g37	2	0	49	0.0
nb22	g38	7	0	129	0.0
nb22	g39	4	0	47	0.0
nb22	g42	131	10	1861	0.5373
nb22	g45	45	0	930	0.0
nb22	g46	29	0	409	0.0
nb22	g49	12	0	236	0.0
nb22	g50	49	0	1177	0.0
nb22	g51	49	1	746	0.134
nb22	g52	1	0	12	0.0
nb22	g61	11	185	459	40.305
nb22	g62	5	48	219	21.9178
nb22	g69	22	22	325	6.7692
nb22	g70	10	0	197	0.0
nb22	g71	10	0	130	0.0
nb22	g72	4	0	65	0.0
nb22	g73	39	0	637	0.0
nb22	g83	184	22	4529	0.4858
nb22	g84	80	0	1481	0.0
nb22	g85	170	13	2960	0.4392
nb22	g86	41	0	534	0.0
nb22	g90	1	0	13	0.0
nb22	g91	12	0	219	0.0
nb22	g92	7	0	90	0.0
nb22	g95	31	0	411	0.0
nb22	g99	20	0	311	0.0
nb22	g101	23	42	1262	3.3281
nb22	g102	3	2	62	3.2258
nb22	g107	15	14	169	8.284
nb22	g108	5	0	53	0.0
nb22	g109	9	15	134	11.194
nb22	g110	6	1	111	0.9009
nb22	g111	91	265	3943	6.7208
nb22	g113	1	0	13	0.0
nb22	g114	47	1	691	0.1447
nb22	g115	65	0	1306	0.0
nb22	g116	11	0	133	0.0
nb22	g118	18	0	280	0.0
nb22	g119	5	0	53	0.0
nb22	g121	52	1	1098	0.0911
nb22	g122	9	0	150	0.0
nb22	g123	36	1	551	0.1815
nb22	g124	1	22	22	100.0
nb22	g125	18	2	331	0.6042
nb22	g126	129	18	2328	0.7732
nb22	g127	1	0	11	0.0
nb22	g128	25	1	453	0.2208
nb22	g129	15	39	947	4.1183
nb22	g130	251	5	4185	0.1195
nb22	g132	14	0	242	0.0
nb22	g133	37	2	460	0.4348
nb22	g134	16	0	187	0.0
nb22	g135	47	0	658	0.0
nb22	g137	1	0	13	0.0
nb22	g139	35	0	517	0.0
nb22	g140	19	0	468	0.0
nb22	g141	11	19	161	11.8012
nb22	g142	13	0	223	0.0
nb22	g143	60	36	953	3.7775
nb22	g144	34	1	498	0.2008
nb22	g145	35	252	603	41.791
nb22	g146	42	204	707	28.8543
nb22	g156	16	1	199	0.5025
nb22	g157	33	37	522	7.0881
nb22	g158	2	0	24	0.0
nb22	g162	8	0	117	0.0
nb22	g163	33	15	548	2.7372
nb22	g164	75	1	1454	0.0688
nb22	g167	27	9	373	2.4129
nb22	g169	16	1	184	0.5435
nb22	g171	8	98	107	91.5888
nb22	g172	56	0	766	0.0
nb22	g173	2	22	25	88.0
nb22	g174	14	0	184	0.0
nb22	g175	25	1	367	0.2725
nb22	g176	2	23	25	92.0
nb22	g177	1	8	10	80.0
nb22	g179	7	1	119	0.8403
nb22	g180	14	0	224	0.0
nb22	g181	43	3	586	0.5119
nb22	g183	7	0	74	0.0
nb22	g185	2	20	29	68.9655
nb22	g187	18	227	340	66.7647
nb22	g188	1	0	16	0.0
nb22	g190	20	4	250	1.6
nb22	g191	44	4	1109	0.3607
nb22	g192	106	12	1705	0.7038
nb22	g193	21	7	333	2.1021
nb22	g197	8	0	138	0.0
nb22	g201	65	1	938	0.1066
nb22	g202	57	38	1374	2.7656
nb22	g203	5	0	74	0.0
nb22	g204	1	0	10	0.0
nb22	g206	29	110	3059	3.5959
nb22	g208	16	0	225	0.0
nb22	g212	23	0	1192	0.0
nb22	g213	161	13	6497	0.2001
nb22	g217	114	615	1989	30.9201
nb22	g219	23	0	414	0.0
nb22	g220	21	1	621	0.161
nb22	g221	7	0	80	0.0
nb22	g222	204	31	2962	1.0466
nb22	g224	16	0	369	0.0
