gene	meth_pos	meth_density	mean_meth
g1	0	0	0
g2	3	150	25.67
g3	0	0	0
g4	0	0	0
g5	0	0	0
g6	3	150	0
g7	39	1950	7.72
g8	0	0	0
g9	112	5600	0.28
g10	19	950	0.05
g11	10	500	0
g12	0	0	0
g13	9	450	0
g14	0	0	0
g15	46	2300	0.3
g16	0	0	0
g17	0	0	0
g18	60	3000	0.03
g19	0	0	0
g20	0	0	0
g21	1	50	135
g22	0	0	0
g23	0	0	0
g24	0	0	0
g25	0	0	0
g26	3	150	0.33
g27	78	3900	0.08
g28	43	2150	0.07
g29	133	6650	0.06
g30	19	950	0.16
g31	1	50	1
g32	1	50	0
g33	0	0	0
g34	0	0	0
g35	5	250	158.4
g36	6	300	0
g37	2	100	0
g38	7	350	0.14
g39	4	200	0
g40	0	0	0
g41	0	0	0
g42	137	6850	1.3
g43	0	0	0
g44	0	0	0
g45	46	2300	0.28
g46	30	1500	0.03
g47	0	0	0
g48	0	0	0
g49	13	650	0.08
g50	51	2550	0.08
g51	54	2700	0.11
g52	1	50	0
g53	0	0	0
g54	0	0	0
g55	0	0	0
g56	0	0	0
g57	0	0	0
g58	0	0	0
g59	0	0	0
g60	0	0	0
g61	13	650	177.62
g62	6	300	133.17
g63	0	0	0
g64	0	0	0
g65	0	0	0
g66	0	0	0
g67	0	0	0
g68	0	0	0
g69	23	1150	17.17
g70	12	600	0
g71	10	500	0.4
g72	4	200	0.25
g73	46	2300	0.09
g74	0	0	0
g75	0	0	0
g76	0	0	0
g77	0	0	0
g78	0	0	0
g79	0	0	0
g80	0	0	0
g81	0	0	0
g82	0	0	0
g83	227	11350	0.42
g84	85	4250	0.34
g85	181	9050	0.28
g86	41	2050	0.05
g87	0	0	0
g88	0	0	0
g89	0	0	0
g90	1	50	0
g91	12	600	0.33
g92	8	400	0
g93	0	0	0
g94	0	0	0
g95	32	1600	0
tRNA-Thr1_gene	0	0	0
g96	0	0	0
g97	0	0	0
g98	0	0	0
g99	20	1000	0.1
g100	0	0	0
g101	23	1150	15.35
g102	3	150	83
g103	0	0	0
g104	0	0	0
g105	0	0	0
tRNA-Thr25_gene	0	0	0
g106	0	0	0
g107	15	750	11.07
g108	5	250	0
g109	12	600	16.75
g110	6	300	0.33
g111	116	5800	66.77
g112	0	0	0
g113	1	50	0
g114	48	2400	0.06
g115	65	3250	0.05
g116	11	550	0.91
g117	0	0	0
g118	18	900	0
g119	5	250	0
g120	0	0	0
g121	52	2600	0.37
g122	10	500	0
g123	37	1850	0.05
g124	1	50	196
g125	20	1000	1.2
g126	131	6550	1.23
g127	1	50	0
