gene	observed CpG	expected CpG	CpG bias
g1	11	13.11	0.8391
g2	13	66.52	0.1954
g3	28	46.36	0.604
g4	40	68.16	0.5869
g5	255	252.22	1.011
g6	50	50.8	0.9843
g7	100	111.29	0.8986
g8	57	165.0	0.3455
g9	442	409.89	1.0783
g10	104	160.73	0.647
g11	81	131.99	0.6137
g12	233	346.27	0.6729
g13	113	274.48	0.4117
g14	131	213.08	0.6148
g15	199	269.85	0.7374
g16	32	65.93	0.4854
g17	55	158.92	0.3461
g18	503	468.06	1.0746
g19	120	431.53	0.2781
g20	34	70.66	0.4812
g21	197	330.15	0.5967
g22	15	46.3	0.324
g23	129	196.27	0.6573
g24	40	57.75	0.6926
g25	14	18.48	0.7576
g26	95	100.79	0.9426
g27	157	145.85	1.0764
g28	402	572.59	0.7021
g29	408	409.57	0.9962
g30	65	107.95	0.6021
g31	38	57.76	0.6579
g32	50	92.39	0.5412
g33	49	74.68	0.6561
g34	245	309.97	0.7904
g35	138	340.97	0.4047
g36	505	577.26	0.8748
g37	89	80.11	1.111
g38	165	294.59	0.5601
g39	492	726.38	0.6773
g40	20	20.58	0.9718
g41	1	18.04	0.0554
g42	673	839.4	0.8018
g43	86	94.71	0.908
g44	46	144.46	0.3184
g45	293	371.66	0.7884
g46	55	45.69	1.2038
g47	13	23.33	0.5572
g48	15	56.87	0.2638
g49	86	108.82	0.7903
g50	188	235.88	0.797
g51	321	351.39	0.9135
g52	146	165.05	0.8846
g53	10	17.93	0.5577
g54	11	49.9	0.2204
g55	11	23.92	0.4599
g56	35	58.07	0.6027
g57	13	21.39	0.6078
g58	31	34.41	0.9009
g59	23	29.37	0.7831
g60	5	26.56	0.1883
g61	157	207.84	0.7554
g62	7	16.16	0.4332
g63	99	112.15	0.8827
g64	257	298.96	0.8596
g65	36	106.75	0.3372
g66	38	113.5	0.3348
g67	26	55.29	0.4702
g68	31	102.4	0.3027
g69	327	598.43	0.5464
g70	111	118.03	0.9404
g71	208	187.35	1.1102
g72	116	235.38	0.4928
g73	153	229.9	0.6655
g74	16	38.85	0.4118
g75	24	76.61	0.3133
g76	37	119.36	0.31
g77	17	47.76	0.3559
g78	26	41.75	0.6228
g79	112	182.5	0.6137
g80	202	211.27	0.9561
g81	32	42.5	0.7529
g82	373	384.16	0.9709
g83	735	744.36	0.9874
g84	306	416.09	0.7354
g85	597	680.85	0.8768
g86	330	331.93	0.9942
g87	29	144.61	0.2005
g88	57	134.85	0.4227
g89	81	146.62	0.5524
g90	45	164.85	0.273
g91	59	71.61	0.8239
g92	66	71.02	0.9293
g93	194	213.33	0.9094
g94	110	101.4	1.0848
g95	52	43.7	1.1899
tRNA-Thr1_gene	2	5.0	0.4
g96	241	317.43	0.7592
g97	153	348.12	0.4395
g98	17	51.59	0.3295
g99	320	410.1	0.7803
g100	95	76.79	1.2371
g101	312	559.78	0.5574
g102	59	70.98	0.8312
g103	5	14.04	0.3561
g104	26	27.43	0.9479
g105	16	36.92	0.4334
tRNA-Thr25_gene	1	5.35	0.1869
g106	29	65.88	0.4402
g107	401	645.91	0.6208
g108	46	101.37	0.4538
g109	66	159.9	0.4128
g110	20	73.28	0.2729
g111	196	234.65	0.8353
g112	50	65.36	0.765
g113	150	153.63	0.9764
g114	241	266.07	0.9058
g115	192	214.25	0.8961
g116	281	285.05	0.9858
g117	48	46.97	1.0219
g118	206	275.23	0.7485
g119	48	45.88	1.0462
g120	45	38.92	1.1562
g121	485	475.01	1.021
g122	60	70.14	0.8554
g123	443	497.17	0.891
g124	54	91.61	0.5895
g125	353	437.86	0.8062
g126	356	306.37	1.162
g127	18	19.62	0.9174
g128	336	418.48	0.8029
g129	17	16.89	1.0065
tRNA-Glu2_gene	7	7.0	1.0
tRNA-Val3_gene	6	5.21	1.1516
tRNA-Val4_gene	5	4.42	1.1312
tRNA-Glu5_gene	7	7.0	1.0
tRNA-Val6_gene	6	5.21	1.1516
g130	1411	1397.04	1.01
g131	129	405.33	0.3183
g132	26	62.98	0.4128
g133	199	274.67	0.7245
g134	28	25.04	1.1182
g135	227	230.04	0.9868
g136	132	285.29	0.4627
g137	387	442.3	0.875
g138	37	38.86	0.9521
g139	324	372.95	0.8687
g140	222	247.68	0.8963
g141	50	101.41	0.493
g142	101	136.71	0.7388
g143	299	424.65	0.7041
g144	282	288.99	0.9758
g145	326	677.27	0.4813
g146	359	601.07	0.5973
g147	69	83.93	0.8221
g148	155	182.36	0.85
g149	17	24.13	0.7045
g150	64	97.83	0.6542
g151	51	65.16	0.7827
g152	32	38.57	0.8297
g153	19	36.83	0.5159
g154	57	213.33	0.2672
g155	83	188.61	0.4401
g156	33	67.04	0.4922
